"Name","ShortName","ModeAndPID","Equation","Min Value","Max Value","Units","Header"
"Injection volume (Cylinder 1) for 10 times","Inj Vol","213C","(A * 256 + B) * 2.047 / 65535","0","2.047","ml","7E0"
"Inspection Mode (Other=Off,Inspect=On)","Insp Mode","21A6","{A:7}","0","1","Off/On","7B0"
"Inverter Coolant Temp","Inv Coolant","2175","D - 40","15","150","C","7E2"
"Inverter Water Pump Revolution","Inv WP","2175","B * 256 + C","0","5000","RPM","7E2"
"MG1 Inverter Fail","Inv1 fail","2178 ","{A:6}","0","1","Off/On","7E2"
"MG1 Inverter Shutdown","Inv1 S/D","2178 ","{A:7}","0","1","Off/On","7E2"
"Inverter MG1 Temp","Inv1t","2170","A - 40","15","150","C","7E2"
"Inverter MG1 Temp after IG-ON","Inv1t Ign","2170","B - 40","15","150","C","7E2"
"Inverter MG1 Temp Max","Inv1t max","2170","C - 40","15","150","C","7E2"
"MG2 Inverter Fail","Inv2 fail","2178 ","{B:6}","0","1","Off/On","7E2"
"MG2 Inverter Shutdown","Inv2 S/D","2178 ","{B:7}","0","1","Off/On","7E2"
"Inverter MG2 Temp","Inv2t","2171","A - 40","15","150","C","7E2"
"Inverter MG2 Temp after IG-ON","Inv2t Ign","2171","B - 40","15","150","C","7E2"
"Inverter MG2 Temp Max","Inv2t max","2171","C - 40","15","150","C","7E2"
"ISC Learning","ISCL","2149","{L:2}","0","1","Off/On","7E0"
"ISC Learning Value","ISCLV","2149","(J * 256 + K) * 79.998 / 65535","0","79.998","L/s","7E0"
"Judge Time Engine Ignition","JTEI","2149","H / 10","0","25.5","s","7E0"
"Judge Time Engine Output","JTEO","2149","I / 10","0","25.5","s","7E0"
"Vehicle Speed_7E0","KPH_7E0","2101","L","0","160","km/h","7E0"
"Vehicle Speed_7E2","KPH_7E2","2101","I","0","160","km/h","7E2"
"Long FT #1","Long FT1","2103","D * 199.2 / 255 - 100","-100","99.2","%","7E0"
"Accumulated Time of Battery Low","Low count","2192","H * 256 + I","0","65535","","7E2"
"Mass Air Flow","MAF","2101","(D * 256 + E) / 100","0","271","g/s","7E0"
"Manifold Air Pressure_7E0","MAP_7E0","2101","F","0","255","kPa","7E0"
"Manifold Air Pressure_7E2","MAP_7E2","2101","B","0","255","kPa","7E2"
"Model Code_7E0","MCode_7E0","21C1","ABCDEFG","0","0","","7E0"
"Model Code_7E2","MCode_7E2","21C1","ABCDEFG","0","0","","7E2"
"CCS Mem Vehicle Spd","Mem Spd","2121","B","0","200","km/h","7E2"
"MG1 Carrier Frequency","MG1 CF","217C","A / 20","0.75","10","kHz","7E2"
"MG1 torque execution value","MG1 E Torq","2167","(C * 256 + D) / 8 - 4096","-4096","4095.875","Nm","7E2"
"MG1 Gate Status","MG1 Gate","2170","{D:7}","0","1","Off/On","7E2"
"MG1 Control Mode (PWM=0,Variable PWM=1,Rectangular wave=2)","MG1 mode","2167","E","0","2","","7E2"
"MG1 revolution","MG1 rpm","2161","D * 256 + E - 32768","-15000","15000","RPM","7E2"
"MG1 torque","MG1 Torq","2167","(A * 256 + B) / 8 - 4096","-4096","4095.875","Nm","7E2"
"MG1 temperature","MG1t","2161","A - 40","-40","120","C","7E2"
"MG1 temperature after IG-ON","MG1t Ign","2161","B - 40","-40","120","C","7E2"
"MG1 temperature Max","MG1t max","2161","C - 40","-40","120","C","7E2"
"MG2 Carrier Frequency","MG2 CF","217C","B / 20","0.75","10","kHz","7E2"
"MG2 torque execution value","MG2 E Torq","2168","(C * 256 + D) / 8 - 4096","-4096","4095.875","Nm","7E2"
"MG2 Gate Status","MG2 Gate","2171","{D:7}","0","1","Off/On","7E2"
"MG2 Control Mode (PWM=0,Variable PWM=1,Rectangular wave=2)","MG2 mode","2168","E","0","2","","7E2"
"MG2 revolution","MG2 rpm","2162","D * 256 + E - 32768","-500","15000","RPM","7E2"
"MG2 torque","MG2 Torq","2168","(A * 256 + B) / 8 - 4096","-4096","4095.875","Nm","7E2"
"MG2 temperature","MG2t","2162","A - 40","-40","120","C","7E2"
"MG2 temperature after IG-ON","MG2t Ign","2162","B - 40","-40","120","C","7E2"
"MG2 temperature Max","MG2t max","2162","C - 40","-40","120","C","7E2"
"MIL","MIL","2106","{A:7}","0","1","Off/On","7E0"
"Cylinder #1 Misfire Count","MisfireCnt#1","2145","D","0","255","","7E0"
